ID,orderDate,totalAmount,status,createdAt,createdBy
11111111-1111-1111-1111-111111111111,2026-01-10,1500.50,Pending,2026-01-10T10:00:00Z,admin
22222222-2222-2222-2222-222222222222,2026-01-12,3200.75,Processing,2026-01-12T11:30:00Z,admin
33333333-3333-3333-3333-333333333333,2026-01-15,4999.99,Shipped,2026-01-15T09:15:00Z,user1
44444444-4444-4444-4444-444444444444,2026-01-18,2750.00,Delivered,2026-01-18T14:20:00Z,user2
55555555-5555-5555-5555-555555555555,2026-01-20,850.25,Cancelled,2026-01-20T08:45:00Z,user3
66666666-6666-6666-6666-666666666666,2026-01-22,12500.00,Pending,2026-01-22T16:10:00Z,admin
77777777-7777-7777-7777-777777777777,2026-01-25,6500.50,Processing,2026-01-25T12:00:00Z,user4
88888888-8888-8888-8888-888888888888,2026-01-28,9800.75,Shipped,2026-01-28T15:30:00Z,user5
99999999-9999-9999-9999-999999999999,2026-01-30,4100.00,Delivered,2026-01-30T10:45:00Z,user1
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-02-01,2200.25,Pending,2026-02-01T09:00:00Z,user2
